model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,market_value
 2 Series,2015,123456,Semi-Auto,33419,Diesel,20,68.9,2.0,88655.38
 8 Series,2019,88980,Semi-Auto,88,Petrol,145,24.4,4.4,88615.836
 M5,2019,89900,Semi-Auto,2269,Petrol,145,24.1,4.4,86379.91
 8 Series,2019,84898,Semi-Auto,3185,Petrol,145,24.4,4.4,84088.26
 M5,2019,81140,Semi-Auto,551,Petrol,145,24.1,4.4,80963.59
 8 Series,2020,79991,Semi-Auto,151,Diesel,145,26.7,3.0,80032.66
 X7,2020,79566,Semi-Auto,1000,Petrol,145,24.8,3.0,78437.53
 X7,2020,78000,Semi-Auto,5000,Diesel,150,31.4,3.0,77188.05
 X7,2019,76970,Semi-Auto,10,Diesel,145,31.4,3.0,77185.74
 X7,2020,77995,Semi-Auto,7500,Diesel,150,31.4,3.0,77110.945
 X7,2020,77990,Semi-Auto,5656,Diesel,150,31.4,3.0,76778.0
 X7,2019,77880,Semi-Auto,6506,Diesel,150,31.4,3.0,76305.85
 X7,2019,77880,Semi-Auto,6506,Diesel,145,31.4,3.0,75801.125
 X7,2019,78386,Automatic,1793,Diesel,145,31.4,3.0,75235.805
 M5,2019,74988,Automatic,2684,Petrol,145,24.1,4.4,74849.805
 M4,2016,76990,Automatic,4550,Petrol,300,33.2,3.0,74848.17
 X7,2019,73990,Semi-Auto,1657,Diesel,145,31.4,3.0,74263.73
 M5,2019,73990,Automatic,1501,Petrol,145,24.1,4.4,74251.26
 X7,2020,71980,Semi-Auto,8695,Diesel,150,31.4,3.0,74146.87
 X7,2019,74990,Semi-Auto,9200,Diesel,145,31.4,3.0,74109.336
 X7,2019,73950,Semi-Auto,9121,Diesel,145,31.4,3.0,74109.336
 X7,2019,74480,Automatic,7278,Diesel,145,31.4,3.0,74048.16
 8 Series,2019,73890,Semi-Auto,3369,Petrol,150,26.7,4.4,73943.15
 X7,2019,74980,Automatic,7901,Diesel,145,31.4,3.0,73926.42
 8 Series,2019,72990,Semi-Auto,8200,Petrol,145,26.7,4.4,73407.336
 8 Series,2019,73900,Automatic,953,Petrol,145,26.9,4.4,73404.766
 i8,2019,74226,Automatic,10,Hybrid,135,141.2,1.5,73375.94
 X7,2019,71000,Semi-Auto,5665,Diesel,145,31.4,3.0,73355.375
 M5,2019,70686,Semi-Auto,3153,Petrol,145,24.1,4.4,73295.33
 X5,2020,65000,Semi-Auto,1435,Petrol,145,23.2,4.4,73114.2
 X7,2020,78490,Semi-Auto,4919,Diesel,145,31.4,3.0,73084.8
 X7,2019,72500,Automatic,5929,Diesel,145,31.4,3.0,73082.84
 X5,2019,73000,Automatic,5,Hybrid,135,188.3,3.0,73061.42
 M5,2019,70000,Automatic,6568,Petrol,145,24.1,4.4,72715.37
 M5,2019,70995,Semi-Auto,23,Petrol,145,24.1,4.4,72529.87
 X7,2020,72000,Semi-Auto,3116,Diesel,145,31.4,3.0,72523.09
 X6,2020,58999,Semi-Auto,3,Petrol,145,26.4,3.0,71934.336
 X5,2019,72990,Semi-Auto,4799,Hybrid,140,188.3,3.0,71753.055
 X7,2019,69880,Automatic,3980,Diesel,145,31.4,3.0,71436.97
 M5,2019,72000,Semi-Auto,3545,Petrol,145,24.1,4.4,71360.11
 X7,2019,67120,Automatic,10,Diesel,145,33.6,3.0,71263.555
 X7,2019,69995,Semi-Auto,4997,Diesel,145,31.4,3.0,71058.37
 M5,2019,69995,Automatic,3700,Petrol,145,24.1,4.4,70143.56
 X7,2019,69146,Automatic,2567,Petrol,145,24.8,3.0,70014.336
 X7,2019,67990,Semi-Auto,6331,Petrol,145,24.8,3.0,69841.47
 M5,2019,68850,Automatic,4359,Petrol,150,24.1,4.4,69684.43
 X5,2019,69995,Semi-Auto,1606,Hybrid,135,188.3,3.0,69471.5
 M5,2019,69948,Automatic,13000,Petrol,150,24.1,4.4,69427.4
 X7,2019,72430,Semi-Auto,6391,Diesel,145,33.6,3.0,69401.336
 8 Series,2019,69898,Automatic,4075,Petrol,145,26.7,3.0,69193.31
 X3,2020,69991,Semi-Auto,10,Petrol,145,24.8,3.0,68800.52
 X7,2019,67986,Automatic,5825,Petrol,145,24.8,3.0,68491.016
 X7,2019,68898,Automatic,5203,Petrol,145,24.8,3.0,68456.72
 i8,2019,72000,Automatic,176,Hybrid,135,141.2,1.5,68448.47
 M5,2019,68930,Automatic,123,Petrol,145,26.9,4.4,68423.695
 X7,2019,72798,Semi-Auto,5349,Diesel,145,33.6,3.0,68345.45
 X7,2019,69995,Semi-Auto,5283,Diesel,145,33.6,3.0,68345.45
 8 Series,2020,69991,Semi-Auto,419,Petrol,145,33.2,3.0,67797.46
 X7,2019,69940,Automatic,2689,Diesel,145,33.6,3.0,67794.39
 X6,2019,69993,Semi-Auto,1402,Petrol,145,26.4,3.0,67743.984
 i8,2019,67940,Automatic,1110,Hybrid,135,141.2,1.5,67743.734
 X7,2020,64995,Semi-Auto,1501,Diesel,145,33.6,3.0,67547.03
 X7,2020,69995,Semi-Auto,1501,Diesel,145,33.6,3.0,67547.03
 X7,2019,67400,Semi-Auto,5600,Diesel,150,33.6,3.0,67447.16
 X6,2020,69995,Semi-Auto,999,Diesel,145,34.9,3.0,67433.91
 8 Series,2020,66991,Semi-Auto,123,Petrol,145,33.2,3.0,67345.164
 X7,2019,67950,Automatic,15000,Diesel,145,31.4,3.0,67307.95
 i8,2019,67500,Automatic,6000,Hybrid,140,141.2,1.5,67258.52
 8 Series,2020,74995,Semi-Auto,4500,Diesel,145,26.7,3.0,67109.67
 X7,2019,62990,Semi-Auto,2137,Diesel,145,33.6,3.0,66832.13
 X7,2020,64999,Semi-Auto,4000,Diesel,145,33.6,3.0,66544.23
 X7,2020,66988,Automatic,5000,Diesel,145,33.6,3.0,66521.45
 X6,2019,68522,Semi-Auto,11330,Diesel,145,33.2,3.0,66333.28
 X7,2019,67989,Semi-Auto,17561,Petrol,145,24.8,3.0,66308.54
 X6,2019,66281,Semi-Auto,2710,Petrol,145,26.4,3.0,66087.86
 X7,2019,66000,Semi-Auto,2881,Diesel,145,33.6,3.0,66083.06
 X7,2020,63990,Semi-Auto,6137,Diesel,145,33.6,3.0,66014.664
 i8,2019,64750,Automatic,2799,Hybrid,135,141.2,1.5,65997.336
 X6,2019,59990,Semi-Auto,2500,Petrol,145,26.4,3.0,65891.58
 X6,2019,66750,Semi-Auto,2519,Petrol,145,26.4,3.0,65891.58
 X6,2019,66290,Automatic,1000,Petrol,145,26.4,3.0,65770.836
 X7,2020,64995,Semi-Auto,3452,Diesel,150,33.6,3.0,65756.27
 X6,2019,68300,Semi-Auto,3145,Petrol,145,26.4,3.0,65734.086
 X7,2019,67000,Semi-Auto,4900,Diesel,145,33.6,3.0,65719.305
 X7,2019,68720,Semi-Auto,5000,Diesel,145,33.6,3.0,65703.695
 X7,2020,69990,Semi-Auto,5087,Diesel,145,33.6,3.0,65662.41
 X7,2019,65050,Semi-Auto,3192,Diesel,145,33.6,3.0,65636.61
 X7,2019,66540,Semi-Auto,3218,Diesel,145,33.6,3.0,65636.61
 X7,2019,74140,Semi-Auto,3300,Diesel,145,33.6,3.0,65534.715
 X7,2019,64400,Semi-Auto,3003,Diesel,145,33.6,3.0,65522.94
 X7,2019,65000,Semi-Auto,3670,Diesel,145,33.6,3.0,65520.637
 X6,2020,67990,Semi-Auto,5656,Diesel,150,33.2,3.0,65269.82
 X5,2019,65000,Automatic,7374,Hybrid,140,188.3,3.0,65250.973
 X7,2019,64789,Automatic,3890,Diesel,145,33.6,3.0,65247.746
 X7,2019,64999,Semi-Auto,1500,Diesel,150,33.6,3.0,65186.86
 X6,2019,63999,Semi-Auto,4000,Petrol,145,26.4,3.0,65162.434
 8 Series,2019,65000,Automatic,11111,Petrol,150,26.9,4.4,65148.35
 X7,2019,61875,Semi-Auto,5071,Diesel,145,33.6,3.0,65012.406
 i8,2019,64750,Automatic,2277,Hybrid,140,141.2,1.5,64917.566
 8 Series,2019,67898,Semi-Auto,7903,Diesel,145,38.2,3.0,64760.258
 X5,2020,63295,Semi-Auto,150,Diesel,150,33.6,3.0,64748.066
 X5,2020,63995,Automatic,5000,Hybrid,135,188.3,3.0,64733.566
 X6,2020,65352,Semi-Auto,3158,Petrol,145,26.4,3.0,64720.566
 3 Series,2020,71990,Semi-Auto,150,Diesel,150,47.1,3.0,64576.324
 X6,2019,64690,Automatic,3000,Petrol,145,26.4,3.0,64558.89
 X6,2019,64900,Semi-Auto,7200,Diesel,145,33.2,3.0,64438.28
 M5,2019,65000,Semi-Auto,4800,Petrol,145,26.9,4.4,64294.125
 8 Series,2018,63980,Semi-Auto,3891,Petrol,145,26.9,4.4,64293.715
 M5,2019,63980,Semi-Auto,5000,Petrol,150,26.9,4.4,64115.742
 i8,2018,64980,Automatic,4477,Hybrid,135,141.2,1.5,63772.29
 X7,2019,62995,Automatic,11055,Diesel,145,33.6,3.0,63569.543
 X7,2019,65520,Automatic,8574,Diesel,145,33.6,3.0,63508.074
 X7,2019,62850,Automatic,9811,Diesel,145,33.6,3.0,63473.863
 X5,2020,62991,Semi-Auto,123,Diesel,145,37.7,3.0,63412.72
 8 Series,2019,53980,Semi-Auto,2395,Petrol,145,33.2,3.0,63347.734
 X6,2019,64652,Automatic,4331,Petrol,145,26.4,3.0,63265.64
 8 Series,2020,59995,Semi-Auto,700,Petrol,145,31.7,3.0,63155.742
 8 Series,2020,61485,Semi-Auto,6374,Diesel,145,26.7,3.0,63141.15
 M5,2019,62980,Semi-Auto,3256,Petrol,145,26.9,4.4,63092.742
 X6,2019,58480,Semi-Auto,2018,Petrol,145,26.4,3.0,63069.082
 X7,2019,59988,Automatic,7791,Diesel,145,33.6,3.0,63039.36
 8 Series,2019,63806,Automatic,1616,Diesel,145,39.8,3.0,62696.66
 M5,2019,61797,Semi-Auto,4419,Petrol,145,26.9,4.4,62696.29
 8 Series,2020,63000,Semi-Auto,3000,Diesel,145,40.4,3.0,62691.26
 8 Series,2019,64103,Semi-Auto,1897,Diesel,145,39.8,3.0,62508.27
 M5,2019,62898,Semi-Auto,4200,Petrol,150,26.9,4.4,62474.24
 8 Series,2019,59790,Semi-Auto,1600,Petrol,145,33.2,3.0,62385.46
 8 Series,2019,62995,Automatic,5883,Petrol,145,33.6,3.0,62375.395
 8 Series,2020,61995,Semi-Auto,101,Diesel,145,40.4,3.0,62165.027
 8 Series,2019,61898,Semi-Auto,2650,Diesel,145,39.8,3.0,62073.355
 8 Series,2020,62995,Semi-Auto,11,Petrol,145,31.7,3.0,61944.008
 X6,2019,58988,Automatic,5000,Petrol,145,26.4,3.0,61869.996
 8 Series,2019,58990,Automatic,3948,Petrol,145,33.2,3.0,61712.016
 X5,2020,64995,Semi-Auto,102,Diesel,145,37.7,3.0,61456.723
 X6,2019,64772,Semi-Auto,4193,Petrol,150,26.4,3.0,61333.43
 M3,2019,62995,Semi-Auto,5957,Petrol,145,33.2,3.0,61180.55
 X4,2020,60995,Semi-Auto,100,Petrol,145,24.8,3.0,61049.055
 X5,2019,63320,Automatic,123,Diesel,145,33.6,3.0,61018.547
 M5,2018,61792,Automatic,5856,Petrol,145,26.9,4.4,60854.793
 X5,2020,61980,Semi-Auto,3968,Diesel,145,33.6,3.0,60831.176
 X6,2019,61854,Semi-Auto,1000,Diesel,145,34.9,3.0,60815.125
 X6,2019,59995,Semi-Auto,101,Diesel,145,34.9,3.0,60710.953
 X6,2020,55995,Semi-Auto,3291,Diesel,145,33.2,3.0,60704.76
 X3,2019,54999,Automatic,500,Petrol,145,24.8,3.0,59863.89
 8 Series,2019,60000,Automatic,8000,Petrol,145,33.6,3.0,59739.645
 8 Series,2020,59995,Semi-Auto,1501,Petrol,145,31.7,3.0,59697.887
 X3,2019,56000,Semi-Auto,26,Petrol,145,24.8,3.0,59624.07
 X5,2020,60990,Semi-Auto,3500,Diesel,145,33.6,3.0,59453.508
 8 Series,2019,54991,Semi-Auto,8966,Petrol,145,33.6,3.0,59405.97
 M4,2020,59999,Semi-Auto,3000,Petrol,150,28.5,3.0,59394.883
 8 Series,2020,59990,Semi-Auto,5490,Petrol,145,31.7,3.0,59383.867
 8 Series,2019,58940,Semi-Auto,1135,Diesel,145,40.4,3.0,59346.934
 M5,2018,59973,Semi-Auto,10455,Petrol,150,26.9,4.4,59239.203
 X6,2019,58900,Automatic,15,Diesel,145,34.9,3.0,59102.4
 i8,2017,59950,Automatic,9992,Hybrid,135,134.5,1.5,59039.117
 8 Series,2019,55980,Semi-Auto,3489,Diesel,145,39.8,3.0,58862.87
 X5,2020,59993,Semi-Auto,500,Diesel,145,37.7,3.0,58842.812
